0 0
1000 0
2000 0
3000 0
4000 0
5000 0
6000 0
7000 -163
8000 -53
9000 -37
10000 2
11000 -135
12000 -48
13000 -11
14000 -101
15000 -13
16000 80
17000 -48
18000 -88
19000 -16
20000 47
21000 133
22000 -126
23000 -48
24000 -9
25000 3
26000 126
27000 -36
28000 39
29000 -67
30000 46
31000 -51
32000 44
33000 -200
34000 -36
35000 155
36000 77
37000 -36
38000 97
39000 110
40000 31
41000 2
42000 -155
43000 169
44000 11
45000 -19
46000 74
47000 28
48000 -117
49000 -241
50000 51
51000 -132
52000 -1
53000 106
54000 -69
55000 32
56000 78
57000 17
58000 131
59000 -196
60000 103
61000 210
62000 -78
63000 -30
64000 135
65000 -207
66000 36
67000 -141
68000 -32
69000 160
70000 73
71000 43
72000 -19
73000 38
74000 -24
75000 -77
76000 -87
77000 60
78000 15
79000 -60
80000 -135
81000 -116
82000 91
83000 56
84000 -15
85000 -3
86000 106
87000 59
88000 -54
89000 -253
90000 153
91000 -128
92000 -40
93000 -105
94000 -32
95000 233
96000 14
97000 11
98000 137
99000 -18
100000 -42
101000 119
102000 -56
103000 139
104000 108
105000 -81
106000 -60
107000 26
108000 38
109000 72
110000 5
111000 -14
112000 -47
113000 39
114000 116
115000 -52
116000 -14
117000 161
118000 -15
119000 114
120000 5
121000 66
122000 80
123000 -51
124000 127
125000 -30
126000 114
127000 -32
128000 40
129000 -100
130000 -149
131000 -54
132000 86
133000 107
134000 -230
135000 119
136000 -111
137000 126
138000 203
139000 -105
140000 115
141000 -30
142000 -249
143000 226
144000 109
145000 37
146000 153
147000 -60
148000 44
149000 87
150000 47
151000 2
152000 206
153000 396
154000 -125
155000 -2
156000 -25
157000 -86
158000 283
159000 93
160000 74
161000 286
162000 -3
163000 -185
164000 -60
165000 53
166000 35
167000 -284
168000 244
169000 -179
170000 18
171000 -170
172000 47
173000 162
174000 102
175000 -232
176000 40
177000 -4
178000 -94
179000 96
180000 89
181000 177
182000 23
183000 -296
184000 -180
185000 21
186000 361
187000 -48
188000 266
189000 114
190000 153
191000 24
192000 -130
193000 -128
194000 180
195000 54
196000 -225
197000 -37
198000 -139
199000 -50
200000 28
201000 -289
202000 170
203000 21
204000 -131
205000 188
206000 -69
207000 194
208000 140
209000 -83
210000 -62
211000 5
212000 -57
213000 -75
214000 95
215000 106
216000 -62
217000 -245
218000 -100
219000 -144
220000 -27
221000 21
222000 62
223000 187
224000 -2
